Name ;Comment URL;content;Date;"emocion";content_global;tokens;lemas;content_clasico;content_transformers
Sandy 🦋;https://www.tiktok.com/@sandy.jadhe/video/7354011532155489541?comment_id=7369061690337723141;🥺💔;2024-05-15 03:23:08;"Tristeza";emoji_cara_suplicante emoji_corazón_roto;['emoji_cara_suplicante', 'emoji_corazón_roto'];['emoji_cara_suplicante', 'emoji_corazón_roto'];emoji_cara_suplicante emoji_corazón_roto;emoji_cara_suplicante emoji_corazón_roto
melisakim10;https://www.tiktok.com/@melisakim10/video/7354011532155489541?comment_id=7369389350246957829;yo siempre estoy asi;2024-05-16 00:34:42;"Tristeza";yo siempre estoy asi;['yo', 'siempre', 'estoy', 'asi'];['siempre'];siempre;yo siempre estoy asi
𝓰𝓻𝓮𝓬𝓲𝓪🤎;https://www.tiktok.com/@grecia.03_/video/7354011532155489541?comment_id=7369722407265878789;Amo maquillar es mi profesión pero ahora simplemente ya no quiero no me hace sentir bien prefiero dormir;2024-05-16 22:07:15;"Tristeza";Amo maquillar es mi profesión pero ahora simplemente ya no quiero no me hace sentir bien prefiero dormir;['amo', 'maquillar', 'es', 'mi', 'profesión', 'pero', 'ahora', 'simplemente', 'ya', 'no', 'quiero', 'no', 'me', 'hace', 'sentir', 'bien', 'prefiero', 'dormir'];['amar', 'maquillar', 'profesión', 'simplemente', 'no', 'querer', 'no', 'sentir', 'bien', 'preferir', 'dormir'];amar maquillar profesión simplemente no querer no sentir bien preferir dormir;Amo maquillar es mi profesión pero ahora simplemente ya no quiero no me hace sentir bien prefiero dormir
Sebastian Torres Vel;https://www.tiktok.com/@sebasito23/video/7354011532155489541?comment_id=7370895389945365254;ah eso era Carajo....;2024-05-20 01:58:52;"Ira";ah eso era Carajo....;['ah', 'eso', 'era', 'carajo'];['ah', 'carajo'];ah carajo;ah eso era Carajo....
usernameblocked224;https://www.tiktok.com/@usernameblocked224/video/7354011532155489541?comment_id=7371075314356077318;Y por último, debe ser diagnosticado por un especialista, no ustedes mismos💗;2024-05-20 13:37:05;"Alegría";Y por último, debe ser diagnosticado por un especialista, no ustedes mismos emoji_corazón_creciente;['y', 'por', 'último', 'debe', 'ser', 'diagnosticado', 'por', 'un', 'especialista', 'no', 'ustedes', 'mismos', 'emoji_corazón_creciente'];['diagnosticar', 'especialista', 'no', 'emoji_corazón_creciente'];diagnosticar especialista no emoji_corazón_creciente;Y por último, debe ser diagnosticado por un especialista, no ustedes mismos emoji_corazón_creciente
🦦;https://www.tiktok.com/@lachachi.01/video/7354011532155489541?comment_id=7371080397610861317;😞;2024-05-20 13:56:48;"Tristeza";emoji_cara_decepcionada;['emoji_cara_decepcionada'];['emoji_cara_decepcionar'];emoji_cara_decepcionar;emoji_cara_decepcionada
Jean 🦦;https://www.tiktok.com/@jeanstar7.20/video/7354011532155489541?comment_id=7371152166578946822;llevo 5 años :c;2024-05-20 18:35:18;"Tristeza";llevo 5 años :c;['llevo', '5', 'años', 'c'];['llevar', '5', 'año', 'c'];llevar 5 año c;llevo 5 años :c
Alex;https://www.tiktok.com/@lalalale_x/video/7354011532155489541?comment_id=7371286299829371654;yo no siento tristeza, sino un vacío por todo...;2024-05-21 03:15:46;"Tristeza";yo no siento tristeza, sino un vacío por todo...;['yo', 'no', 'siento', 'tristeza', 'sino', 'un', 'vacío', 'por', 'todo'];['no', 'sentir', 'tristeza', 'vacío'];no sentir tristeza vacío;yo no siento tristeza, sino un vacío por todo...
𝓓𝓪𝔂𝓪𝓷𝓪 🎀;https://www.tiktok.com/@dallani_li/video/7354011532155489541?comment_id=7371725202512315141;Y si me pasa todo un mes y me da ansiedad y como como si nunca me lleno y sobrepienso cosas que no deberia;2024-05-22 07:38:57;"Tristeza";Y si me pasa todo un mes y me da ansiedad y como como si nunca me lleno y sobrepienso cosas que no deberia;['y', 'si', 'me', 'pasa', 'todo', 'un', 'mes', 'y', 'me', 'da', 'ansiedad', 'y', 'como', 'como', 'si', 'nunca', 'me', 'lleno', 'y', 'sobrepienso', 'cosas', 'que', 'no', 'deberia'];['si', 'pasar', 'mes', 'ansiedad', 'si', 'nunca', 'lleno', 'sobrepienso', 'cosa', 'no', 'deberio'];si pasar mes ansiedad si nunca lleno sobrepienso cosa no deberio;Y si me pasa todo un mes y me da ansiedad y como como si nunca me lleno y sobrepienso cosas que no deberia
Xi F. Roldán;https://www.tiktok.com/@xifroldn/video/7354011532155489541?comment_id=7372046452949943046;dos semanas llevo tres años;2024-05-23 04:25:30;"Tristeza";dos semanas llevo tres años;['dos', 'semanas', 'llevo', 'tres', 'años'];['semana', 'llevar', 'año'];semana llevar año;dos semanas llevo tres años
Hector Rojas;https://www.tiktok.com/@hectorrojas11/video/7354011532155489541?comment_id=7372766250697229062;yo la cargo todos los día pero lo disfrazo muy bien para que nadie se de cuenta 🥺;2024-05-25 02:58:47;"Tristeza";yo la cargo todos los día pero lo disfrazo muy bien para que nadie se de cuenta emoji_cara_suplicante;['yo', 'la', 'cargo', 'todos', 'los', 'día', 'pero', 'lo', 'disfrazo', 'muy', 'bien', 'para', 'que', 'nadie', 'se', 'de', 'cuenta', 'emoji_cara_suplicante'];['cargo', 'disfrazo', 'mucho', 'bien', 'nadie', 'emoji_cara_suplicante'];cargo disfrazo mucho bien nadie emoji_cara_suplicante;yo la cargo todos los día pero lo disfrazo muy bien para que nadie se de cuenta emoji_cara_suplicante
dara  Ángeles;https://www.tiktok.com/@angelasandovalreyn/video/7354011532155489541?comment_id=7373049146226164485;yo todos los días ando triste de motivación desinterés lo que solía hacer 😭;2024-05-25 21:16:39;"Tristeza";yo todos los días ando triste de motivación desinterés lo que solía hacer emoji_cara_llorando_fuerte;['yo', 'todos', 'los', 'días', 'ando', 'triste', 'de', 'motivación', 'desinterés', 'lo', 'que', 'solía', 'hacer', 'emoji_cara_llorando_fuerte'];['ar', 'triste', 'motivación', 'desinterés', 'soler', 'emoji_cara_llorando_fuerte'];ar triste motivación desinterés soler emoji_cara_llorando_fuerte;yo todos los días ando triste de motivación desinterés lo que solía hacer emoji_cara_llorando_fuerte
señor pedos🍑💨;https://www.tiktok.com/@lareconchasumadr/video/7354011532155489541?comment_id=7373059344844161798;🤡quedé . y llevo años así y hasta me siento seguro con la tristeza. aunq duele pero me siento más confiado ahí . es como un jardín lleno de rosas con espinas quieres salir pero no puedes.;2024-05-25 21:56:13;"Tristeza";emoji_cara_de_payaso quedé . y llevo años así y hasta me siento seguro con la tristeza. aunq duele pero me siento más confiado ahí . es como un jardín lleno de rosas con espinas quieres salir pero no puedes.;['emoji_cara_de_payaso', 'quedé', 'y', 'llevo', 'años', 'así', 'y', 'hasta', 'me', 'siento', 'seguro', 'con', 'la', 'tristeza', 'aunq', 'duele', 'pero', 'me', 'siento', 'más', 'confiado', 'ahí', 'es', 'como', 'un', 'jardín', 'lleno', 'de', 'rosas', 'con', 'espinas', 'quieres', 'salir', 'pero', 'no', 'puedes'];['emoji_cara_de_payaso', 'quedé', 'llevar', 'año', 'sentir', 'seguro', 'tristeza', 'aunq', 'duele', 'sentir', 'más', 'confiado', 'jardín', 'lleno', 'rosas', 'espina', 'quier', 'salir', 'no', 'poder'];emoji_cara_de_payaso quedé llevar año sentir seguro tristeza aunq duele sentir más confiado jardín lleno rosas espina quier salir no poder;emoji_cara_de_payaso quedé . y llevo años así y hasta me siento seguro con la tristeza. aunq duele pero me siento más confiado ahí . es como un jardín lleno de rosas con espinas quieres salir pero no puedes.
🇻🇪JOSE🇻🇪;https://www.tiktok.com/@3manquito3/video/7354011532155489541?comment_id=7373483181654000389;y que hago para solucionar eso?;2024-05-27 01:20:50;"Sorpresa";y que hago para solucionar eso?;['y', 'que', 'hago', 'para', 'solucionar', 'eso', 'interrogacion'];['solucionar', 'interrogacion'];solucionar interrogacion;y que hago para solucionar eso?
Alessa Danny;https://www.tiktok.com/@alessa.danny/video/7354011532155489541?comment_id=7373574112649937669;Más al contrario yo prefiero salir para olvidar no pensar estar en mi casa es un infierno no duermo. no disfruto nada actuó en automático;2024-05-27 07:13:40;"Tristeza";Más al contrario yo prefiero salir para olvidar no pensar estar en mi casa es un infierno no duermo. no disfruto nada actuó en automático;['más', 'al', 'contrario', 'yo', 'prefiero', 'salir', 'para', 'olvidar', 'no', 'pensar', 'estar', 'en', 'mi', 'casa', 'es', 'un', 'infierno', 'no', 'duermo', 'no', 'disfruto', 'nada', 'actuó', 'en', 'automático'];['más', 'contrario', 'preferir', 'salir', 'olvidar', 'no', 'pensar', 'casa', 'infierno', 'no', 'duermo', 'no', 'disfrutar', 'nada', 'actuar', 'automático'];más contrario preferir salir olvidar no pensar casa infierno no duermo no disfrutar nada actuar automático;Más al contrario yo prefiero salir para olvidar no pensar estar en mi casa es un infierno no duermo. no disfruto nada actuó en automático
JennieARMY;https://www.tiktok.com/@jk01.jk97/video/7354011532155489541?comment_id=7373674276777542405;La canción Black Swan lo describe muy bien.;2024-05-27 13:42:17;"Tristeza";La canción Black Swan lo describe muy bien.;['la', 'canción', 'black', 'swan', 'lo', 'describe', 'muy', 'bien'];['canción', 'black', 'swan', 'describir', 'mucho', 'bien'];canción black swan describir mucho bien;La canción Black Swan lo describe muy bien.
Daniela Bravo;https://www.tiktok.com/@danielabravo342/video/7354011532155489541?comment_id=7373751456224002822;🙏;2024-05-27 18:41:47;"Alegría";emoji_manos_en_oración;['emoji_manos_en_oración'];['emoji_manos_en_oración'];emoji_manos_en_oración;emoji_manos_en_oración
Athreias Aveldin;https://www.tiktok.com/@athreias/video/7354011532155489541?comment_id=7373867493134189317;yo tengo distimia y TLP.;2024-05-28 02:12:12;"Tristeza";yo tengo distimia y TLP.;['yo', 'tengo', 'distimia', 'y', 'tlp'];['distimia', 'tlp'];distimia tlp;yo tengo distimia y TLP.
🌥;https://www.tiktok.com/@pam_pam_sg/video/7354011532155489541?comment_id=7373893262790394630;la psicologa me diagnostico anhedonia... y no volvi a ir porq me empezo a hablar de pastillas;2024-05-28 03:52:06;"Miedo";la psicologa me diagnostico anhedonia... y no volvi a ir porq me empezo a hablar de pastillas;['la', 'psicologa', 'me', 'diagnostico', 'anhedonia', 'y', 'no', 'volvi', 'a', 'ir', 'porq', 'me', 'empezo', 'a', 'hablar', 'de', 'pastillas'];['psicologa', 'diagnosticar', 'anhedonia', 'no', 'volvi', 'porq', 'empezo', 'hablar', 'pastilla'];psicologa diagnosticar anhedonia no volvi porq empezo hablar pastilla;la psicologa me diagnostico anhedonia... y no volvi a ir porq me empezo a hablar de pastillas
mauriciooween;https://www.tiktok.com/@mauriciooween/video/7354011532155489541?comment_id=7374008973794542342;llevo 5 años es normal 😂😂??;2024-05-28 11:21:08;"Sorpresa";llevo 5 años es normal emoji_cara_llorando_de_risa emoji_cara_llorando_de_risa ??;['llevo', '5', 'años', 'es', 'normal', 'emoji_cara_llorando_de_risa', 'emoji_cara_llorando_de_risa', 'interrogacion', 'interrogacion'];['llevar', '5', 'año', 'normal', 'emoji_cara_llorando_de_risa', 'emoji_cara_llorando_de_risa', 'interrogacion', 'interrogacion'];llevar 5 año normal emoji_cara_llorando_de_risa emoji_cara_llorando_de_risa interrogacion interrogacion;llevo 5 años es normal emoji_cara_llorando_de_risa emoji_cara_llorando_de_risa ??
⭐Estrella⭐;https://www.tiktok.com/@estrella_1442/video/7354011532155489541?comment_id=7374572922654688005;yo q llevo 5 años sintiéndome mal triste un basio la mayor parte del tiempo;2024-05-29 23:49:38;"Tristeza";yo q llevo 5 años sintiéndome mal triste un basio la mayor parte del tiempo;['yo', 'q', 'llevo', '5', 'años', 'sintiéndome', 'mal', 'triste', 'un', 'basio', 'la', 'mayor', 'parte', 'del', 'tiempo'];['q', 'llevar', '5', 'año', 'sintiéndomar', 'mal', 'triste', 'basio', 'tiempo'];q llevar 5 año sintiéndomar mal triste basio tiempo;yo q llevo 5 años sintiéndome mal triste un basio la mayor parte del tiempo
K;https://www.tiktok.com/@bluudeath/video/7354011532155489541?comment_id=7375700112700064518;😭😭😭;2024-06-02 00:43:41;"Tristeza";emoji_cara_llorando_fuerte emoji_cara_llorando_fuerte emoji_cara_llorando_fuerte;['emoji_cara_llorando_fuerte', 'emoji_cara_llorando_fuerte', 'emoji_cara_llorando_fuerte'];['emoji_cara_llorando_fuertir', 'emoji_cara_llorando_fuerte', 'emoji_cara_llorando_fuerte'];emoji_cara_llorando_fuertir emoji_cara_llorando_fuerte emoji_cara_llorando_fuerte;emoji_cara_llorando_fuerte emoji_cara_llorando_fuerte emoji_cara_llorando_fuerte
Alejandro Manoban;https://www.tiktok.com/@alejandromanoban/video/7354011532155489541?comment_id=7375788828323562246;2.semanas? y el DSM -V?????;2024-06-02 06:27:53;"Sorpresa";2.semanas? y el DSM -V?????;['2', 'semanas', 'interrogacion', 'y', 'el', 'dsm', 'v', 'interrogacion', 'interrogacion', 'interrogacion', 'interrogacion', 'interrogacion'];['2', 'semana', 'interrogacion', 'dsm', 'v', 'interrogacion', 'interrogacion', 'interrogacion', 'interrogacion', 'interrogacion'];2 semana interrogacion dsm v interrogacion interrogacion interrogacion interrogacion interrogacion;2.semanas? y el DSM -V?????
marinaflores;https://www.tiktok.com/@marinaflores295/video/7354011532155489541?comment_id=7375873993247179526;dos años tarde en salir de ese abismo pero lo logré 😭👌👌👌;2024-06-02 11:58:21;"Alegría";dos años tarde en salir de ese abismo pero lo logré emoji_cara_llorando_fuerte emoji_señal_de_aprobación_con_la_mano emoji_señal_de_aprobación_con_la_mano emoji_señal_de_aprobación_con_la_mano;['dos', 'años', 'tarde', 'en', 'salir', 'de', 'ese', 'abismo', 'pero', 'lo', 'logré', 'emoji_cara_llorando_fuerte', 'emoji_señal_de_aprobación_con_la_mano', 'emoji_señal_de_aprobación_con_la_mano', 'emoji_señal_de_aprobación_con_la_mano'];['año', 'salir', 'abismo', 'logrer', 'emoji_cara_llorando_fuerte', 'emoji_señal_de_aprobación_con_la_mano', 'emoji_señal_de_aprobación_con_la_mano', 'emoji_señal_de_aprobación_con_la_mano'];año salir abismo logrer emoji_cara_llorando_fuerte emoji_señal_de_aprobación_con_la_mano emoji_señal_de_aprobación_con_la_mano emoji_señal_de_aprobación_con_la_mano;dos años tarde en salir de ese abismo pero lo logré emoji_cara_llorando_fuerte emoji_señal_de_aprobación_con_la_mano emoji_señal_de_aprobación_con_la_mano emoji_señal_de_aprobación_con_la_mano
soy la mandarina de tu suga;https://www.tiktok.com/@enormesnampechos/video/7354011532155489541?comment_id=7376160123071595269;y cómo se trata la depresión sin medicamentos?;2024-06-03 06:28:48;"Sorpresa";y cómo se trata la depresión sin medicamentos?;['y', 'cómo', 'se', 'trata', 'la', 'depresión', 'sin', 'medicamentos', 'interrogacion'];['depresión', 'medicamento', 'interrogacion'];depresión medicamento interrogacion;y cómo se trata la depresión sin medicamentos?
𝓙;https://www.tiktok.com/@httpx.joss/video/7354011532155489541?comment_id=7376176243991085829;Yo dejaba de comer hasta 3 días… no tenía un solo amigo a quien contarle nada y se me caía mucho el cabello :’);2024-06-03 07:31:15;"Tristeza";Yo dejaba de comer hasta 3 días… no tenía un solo amigo a quien contarle nada y se me caía mucho el cabello :’);['yo', 'dejaba', 'de', 'comer', 'hasta', '3', 'días', 'no', 'tenía', 'un', 'solo', 'amigo', 'a', 'quien', 'contarle', 'nada', 'y', 'se', 'me', 'caía', 'mucho', 'el', 'cabello'];['dejar', 'comer', '3', 'no', 'amigo', 'contar él', 'nada', 'caer', 'cabello'];dejar comer 3 no amigo contar él nada caer cabello;Yo dejaba de comer hasta 3 días… no tenía un solo amigo a quien contarle nada y se me caía mucho el cabello :’)
Fernanda Ornelas;https://www.tiktok.com/@fernandaorc/video/7354011532155489541?comment_id=7376207484863152901;Me lleva la v;2024-06-03 09:32:37;"Ira";Me lleva la v;['me', 'lleva', 'la', 'v'];['v'];v;Me lleva la v
lirio139;https://www.tiktok.com/@lilies_770/video/7354011532155489541?comment_id=7376285309447340805;yo tengo eso ☹️;2024-06-03 14:34:27;"Tristeza";yo tengo eso emoji_cara_con_el_ceño_fruncido;['yo', 'tengo', 'eso', 'emoji_cara_con_el_ceño_fruncido'];['emoji_cara_con_el_ceño_fruncido'];emoji_cara_con_el_ceño_fruncido;yo tengo eso emoji_cara_con_el_ceño_fruncido
lsdblackk;https://www.tiktok.com/@lsdblackk/video/7354011532155489541?comment_id=7376320114977932037;No es tristeza .. solo que siento un espacio complejo .. algo que todo lo que veo no le siento el sentido el tacto .. el sentimiento ..;2024-06-03 16:49:30;"Tristeza";No es tristeza .. solo que siento un espacio complejo .. algo que todo lo que veo no le siento el sentido el tacto .. el sentimiento ..;['no', 'es', 'tristeza', 'solo', 'que', 'siento', 'un', 'espacio', 'complejo', 'algo', 'que', 'todo', 'lo', 'que', 'veo', 'no', 'le', 'siento', 'el', 'sentido', 'el', 'tacto', 'el', 'sentimiento'];['no', 'tristeza', 'sentir', 'espacio', 'complejo', 'ver', 'no', 'sentir', 'sentido', 'tacto', 'sentimiento'];no tristeza sentir espacio complejo ver no sentir sentido tacto sentimiento;No es tristeza .. solo que siento un espacio complejo .. algo que todo lo que veo no le siento el sentido el tacto .. el sentimiento ..
amanda☠️;https://www.tiktok.com/@__nnam/video/7354011532155489541?comment_id=7376481932278219525;nmms y la solución?;2024-06-04 03:17:28;"Ira";nmms y la solución?;['nmms', 'y', 'la', 'solución', 'interrogacion'];['nmms', 'solución', 'interrogacion'];nmms solución interrogacion;nmms y la solución?
Mirian♥️;https://www.tiktok.com/@miri20.06/video/7354011532155489541?comment_id=7376486827745084166;🖤☹️;2024-06-04 03:36:33;"Tristeza";emoji_corazón_negro emoji_cara_con_el_ceño_fruncido;['emoji_corazón_negro', 'emoji_cara_con_el_ceño_fruncido'];['emoji_corazón_negrir', 'emoji_cara_con_el_ceño_fruncido'];emoji_corazón_negrir emoji_cara_con_el_ceño_fruncido;emoji_corazón_negro emoji_cara_con_el_ceño_fruncido
nelsonoje;https://www.tiktok.com/@nelsonoje/video/7354011532155489541?comment_id=7377067133219947270;uufff🔥;2024-06-05 17:08:21;"Alegría";uufff emoji_fuego;['uufff', 'emoji_fuego'];['uufff', 'emoji_fuego'];uufff emoji_fuego;uufff emoji_fuego
Bailon Ff;https://www.tiktok.com/@dawmange_/video/7354011532155489541?comment_id=7377664772752147206;yo me siento sin ganas de nada ya llevo varias semanas y mis pensamientos me ganan.;2024-06-07 07:47:36;"Tristeza";yo me siento sin ganas de nada ya llevo varias semanas y mis pensamientos me ganan.;['yo', 'me', 'siento', 'sin', 'ganas', 'de', 'nada', 'ya', 'llevo', 'varias', 'semanas', 'y', 'mis', 'pensamientos', 'me', 'ganan'];['sentir', 'gana', 'nada', 'llevar', 'semana', 'pensamiento', 'ganar'];sentir gana nada llevar semana pensamiento ganar;yo me siento sin ganas de nada ya llevo varias semanas y mis pensamientos me ganan.
la profe 🌅;https://www.tiktok.com/@esteruzcategui/video/7354011532155489541?comment_id=7378266492850438917;llevo tres meses sin reírme si tiene motivo pero como lo arreglamos yo quería pero no me da algo esa situación;2024-06-08 22:42:30;"Tristeza";llevo tres meses sin reírme si tiene motivo pero como lo arreglamos yo quería pero no me da algo esa situación;['llevo', 'tres', 'meses', 'sin', 'reírme', 'si', 'tiene', 'motivo', 'pero', 'como', 'lo', 'arreglamos', 'yo', 'quería', 'pero', 'no', 'me', 'da', 'algo', 'esa', 'situación'];['llevar', 'mes', 'reir yo', 'si', 'motivo', 'arreglamo', 'querer', 'no', 'situación'];llevar mes reir yo si motivo arreglamo querer no situación;llevo tres meses sin reírme si tiene motivo pero como lo arreglamos yo quería pero no me da algo esa situación
Daniela Elizabeth J.;https://www.tiktok.com/@danielaelizabethj3/video/7354011532155489541?comment_id=7378374625996047109;llevo más de un mes;2024-06-09 05:42:03;"Alegría";llevo más de un mes;['llevo', 'más', 'de', 'un', 'mes'];['llevar', 'más', 'mes'];llevar más mes;llevo más de un mes
Antony Gutierrez;https://www.tiktok.com/@antonygutierrez33/video/7354011532155489541?comment_id=7378386148517774085;Yo quiero alejarme de todos...;2024-06-09 06:26:54;"Tristeza";Yo quiero alejarme de todos...;['yo', 'quiero', 'alejarme', 'de', 'todos'];['querer', 'alejar yo'];querer alejar yo;Yo quiero alejarme de todos...
Daeon noead;https://www.tiktok.com/@daeon_noead/video/7354011532155489541?comment_id=7380300822755083040;dos años todos los días;2024-06-14 10:17:07;"Alegría";dos años todos los días;['dos', 'años', 'todos', 'los', 'días'];['año'];año;dos años todos los días
Mayemaldflor;https://www.tiktok.com/@nayi16122/video/7354011532155489541?comment_id=7381299950784103174;yo amaba ir al gimnasio,antes cuando fallaba un día me ponía triste,pero ahora llevo 3 semanas sin ir y es por que ya no me gusta hacer ejercicio y yo amaba hacer ejercicio allá sacaba todo;2024-06-17 02:54:00;"Tristeza";yo amaba ir al gimnasio,antes cuando fallaba un día me ponía triste,pero ahora llevo 3 semanas sin ir y es por que ya no me gusta hacer ejercicio y yo amaba hacer ejercicio allá sacaba todo;['yo', 'amaba', 'ir', 'al', 'gimnasio', 'antes', 'cuando', 'fallaba', 'un', 'día', 'me', 'ponía', 'triste', 'pero', 'ahora', 'llevo', '3', 'semanas', 'sin', 'ir', 'y', 'es', 'por', 'que', 'ya', 'no', 'me', 'gusta', 'hacer', 'ejercicio', 'y', 'yo', 'amaba', 'hacer', 'ejercicio', 'allá', 'sacaba', 'todo'];['amar', 'gimnasio', 'fallar', 'poner', 'triste', 'llevar', '3', 'semana', 'no', 'gustar', 'ejercicio', 'amar', 'ejercicio', 'allá', 'sacar'];amar gimnasio fallar poner triste llevar 3 semana no gustar ejercicio amar ejercicio allá sacar;yo amaba ir al gimnasio,antes cuando fallaba un día me ponía triste,pero ahora llevo 3 semanas sin ir y es por que ya no me gusta hacer ejercicio y yo amaba hacer ejercicio allá sacaba todo
user15966535070;https://www.tiktok.com/@usuario3456120/video/7354011532155489541?comment_id=7381312423784399621;y si dura 4 años que es?😔;2024-06-17 03:42:24;"Sorpresa";y si dura 4 años que es? emoji_cara_desanimada;['y', 'si', 'dura', '4', 'años', 'que', 'es', 'interrogacion', 'emoji_cara_desanimada'];['si', 'durar', '4', 'año', 'interrogacion', 'emoji_cara_desanimar'];si durar 4 año interrogacion emoji_cara_desanimar;y si dura 4 años que es? emoji_cara_desanimada
Jonathan Cardozo;https://www.tiktok.com/@jonatan_cardozo/video/7354011532155489541?comment_id=7381669242248430342;Llevo 32 años tratando de estar lejos de la gente 👀;2024-06-18 02:48:34;"Tristeza";Llevo 32 años tratando de estar lejos de la gente emoji_ojos;['llevo', '32', 'años', 'tratando', 'de', 'estar', 'lejos', 'de', 'la', 'gente', 'emoji_ojos'];['llevar', '32', 'año', 'tratar', 'lejos', 'gente', 'emoji_ojo'];llevar 32 año tratar lejos gente emoji_ojo;Llevo 32 años tratando de estar lejos de la gente emoji_ojos
Fino Mp3;https://www.tiktok.com/@www.finomp3.com/video/7354011532155489541?comment_id=7381694223709602566;Ya no le encuentro el gusto a la vida 😌;2024-06-18 04:23:49;"Tristeza";Ya no le encuentro el gusto a la vida emoji_cara_de_alivio;['ya', 'no', 'le', 'encuentro', 'el', 'gusto', 'a', 'la', 'vida', 'emoji_cara_de_alivio'];['no', 'encontrar', 'gusto', 'vida', 'emoji_cara_de_alivio'];no encontrar gusto vida emoji_cara_de_alivio;Ya no le encuentro el gusto a la vida emoji_cara_de_alivio
yo;https://www.tiktok.com/@3140mnd/video/7354011532155489541?comment_id=7381947579254915872;y si ya se llevan más de dos semanas así;2024-06-18 20:47:06;"Sorpresa";y si ya se llevan más de dos semanas así;['y', 'si', 'ya', 'se', 'llevan', 'más', 'de', 'dos', 'semanas', 'así'];['si', 'llevar', 'más', 'semana'];si llevar más semana;y si ya se llevan más de dos semanas así
Jesus C.;https://www.tiktok.com/@langosta.c46/video/7354011532155489541?comment_id=7383193494435431174;mi novia se volvió mi escape a ese sentimiento y eso me da temor... :(;2024-06-22 05:21:47;"Miedo";mi novia se volvió mi escape a ese sentimiento y eso me da temor... :(;['mi', 'novia', 'se', 'volvió', 'mi', 'escape', 'a', 'ese', 'sentimiento', 'y', 'eso', 'me', 'da', 'temor'];['novia', 'volver', 'escape', 'sentimiento', 'temor'];novia volver escape sentimiento temor;mi novia se volvió mi escape a ese sentimiento y eso me da temor... :(
tiktoker;https://www.tiktok.com/@user1tysjlj8am/video/7354011532155489541?comment_id=7384251870393123589;Ya llevo así más de un mes, y empeorando. 💀;2024-06-25 01:48:51;"Tristeza";Ya llevo así más de un mes, y empeorando. emoji_calavera;['ya', 'llevo', 'así', 'más', 'de', 'un', 'mes', 'y', 'empeorando', 'emoji_calavera'];['llevar', 'más', 'mes', 'empeorar', 'emoji_calavera'];llevar más mes empeorar emoji_calavera;Ya llevo así más de un mes, y empeorando. emoji_calavera
johana_lee;https://www.tiktok.com/@johana_lee/video/7354011532155489541?comment_id=7384299255156654854;llevo 7 meses así 😔🥀;2024-06-25 04:52:45;"Tristeza";llevo 7 meses así emoji_cara_desanimada emoji_flor_marchita;['llevo', '7', 'meses', 'así', 'emoji_cara_desanimada', 'emoji_flor_marchita'];['llevar', '7', 'mes', 'emoji_cara_desanimar', 'emoji_flor_marchito'];llevar 7 mes emoji_cara_desanimar emoji_flor_marchito;llevo 7 meses así emoji_cara_desanimada emoji_flor_marchita
Novia de Adrián;https://www.tiktok.com/@zami.jc0/video/7354011532155489541?comment_id=7384652062154785542;llevo 3 años así;2024-06-26 03:41:52;"Tristeza";llevo 3 años así;['llevo', '3', 'años', 'así'];['llevar', '3', 'año'];llevar 3 año;llevo 3 años así
MOLECOL;https://www.tiktok.com/@molecol/video/7354011532155489541?comment_id=7384698646924821253;tienen amigos 😅;2024-06-26 06:42:34;"Alegría";tienen amigos emoji_cara_sonriendo_con_sudor_frío;['tienen', 'amigos', 'emoji_cara_sonriendo_con_sudor_frío'];['amigo', 'emoji_cara_sonriendo_con_sudor_frío'];amigo emoji_cara_sonriendo_con_sudor_frío;tienen amigos emoji_cara_sonriendo_con_sudor_frío
M’ale;https://www.tiktok.com/@wttfmale/video/7354011532155489541?comment_id=7385841121563329286;yo no siento nada solo existo;2024-06-29 08:35:53;"Tristeza";yo no siento nada solo existo;['yo', 'no', 'siento', 'nada', 'solo', 'existo'];['no', 'sentir', 'nada', 'existo'];no sentir nada existo;yo no siento nada solo existo
Angelo;https://www.tiktok.com/@angelop_3/video/7354011532155489541?comment_id=7386263241141617414;😱😱😱;2024-06-30 11:53:57;"Sorpresa";emoji_cara_gritando_de_miedo emoji_cara_gritando_de_miedo emoji_cara_gritando_de_miedo;['emoji_cara_gritando_de_miedo', 'emoji_cara_gritando_de_miedo', 'emoji_cara_gritando_de_miedo'];['emoji_cara_gritando_de_miedo', 'emoji_cara_gritando_de_miedo', 'emoji_cara_gritando_de_miedo'];emoji_cara_gritando_de_miedo emoji_cara_gritando_de_miedo emoji_cara_gritando_de_miedo;emoji_cara_gritando_de_miedo emoji_cara_gritando_de_miedo emoji_cara_gritando_de_miedo
lahealthcoachcyn;https://www.tiktok.com/@lahealthcoachcyn/video/7354011532155489541?comment_id=7386565894396232453;❤️;2024-07-01 07:28:24;"Alegría";emoji_corazón_rojo;['emoji_corazón_rojo'];['emoji_corazón_rojo'];emoji_corazón_rojo;emoji_corazón_rojo
𝔾𝕒𝕓𝕪 💋;https://www.tiktok.com/@labella.ragazza/video/7354011532155489541?comment_id=7390813230241022725;llevo dos años 😊;2024-07-12 18:10:16;"Alegría";llevo dos años emoji_cara_feliz_con_ojos_sonrientes;['llevo', 'dos', 'años', 'emoji_cara_feliz_con_ojos_sonrientes'];['llevar', 'año', 'emoji_cara_feliz_con_ojos_sonrient'];llevar año emoji_cara_feliz_con_ojos_sonrient;llevo dos años emoji_cara_feliz_con_ojos_sonrientes
